id,source_citation,source_group,title_or_description_from_source,date,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,ratified_yn,ratified_amendment,notes,constitute_topic1,constitute_topic2,constitute_topic3,constitute_topic4,constitute_topic5,constitute_topic6,constitute_topic7,constitute_topic8,constitute_topic9
5640,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relating to Supreme Court decision on prayers in schools,1962-06-27,87,NA,NA,NA,Fino,New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5641,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relating to Supreme Court decision on prayers in schools,1962-06-27,87,NA,NA,NA,Poff,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5642,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relating to the Supreme Court decision on prayers in schools,1962-06-27,87,NA,NA,NA,Sikes,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5643,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relating to the Supreme Court decision on prayers in schools,1962-06-28,87,NA,NA,NA,Baring,Nevada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5644,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relating to the Supreme Court decision on prayers in schools,1962-06-28,87,NA,NA,NA,Tollefson,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5646,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relating to Supreme Court decision on prayers in schools,1962-06-28,87,NA,NA,NA,Moulder,Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5647,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relating to Supreme Court decision on prayers in schools,1962-06-28,87,NA,NA,NA,Widnall,New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5648,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relating to Supreme Court decision on prayers in schools,1962-06-28,87,NA,NA,NA,Boykin,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5649,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relating to Supreme Court decision on prayers in schools,1962-06-28,87,NA,NA,NA,Cunningham,Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5650,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relating to Supreme Court decision on prayers in schools,1962-06-28,87,NA,NA,NA,Hiestand,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
